review_text,actual_stars,predicted_stars,explanation,valid_json,correct
"this another place that i would give no stars to if possible. 
it's been on the corner of mill and university for as long as i can remember, which is impressive since nothing older than ten years has been able to withstand the rent increases, and even more impressive because i don't know a single person who goes there.

i went in there one time, for drinks and walked past one of the foulest salad bars I've ever seen. for some reason, it's right by the door. instead of walking in to see a hostess stand you walk right into this brown mess of vegetables.

after seeing that first off, i wouldn't dream of ordering food here. the place is also dark and dirty and there's never anyone inside of it.

seriously, I'm really curious how this place survives. awesome little neighborhood wing and live music joints like long Wong's get torn down for high rise condos, yet gross, ghost town ruby Tuesdays hangs on the corner of main and main of Tempe. what is wrong with the world?",1,1,"The review is overwhelmingly negative, with the reviewer explicitly stating they would give 'no stars if possible.' Key negative aspects include a 'foul' salad bar described as a 'brown mess,' the place being 'dark and dirty,' and it being a 'ghost town' with no customers. The reviewer expresses disgust and disbelief that such a place survives, using strong language throughout. There are no genuine positive elements; any mention of longevity is sarcastic and undermines the establishment. This aligns with a 1-star rating for extremely negative, angry sentiment.",True,True
"I found Lisa G's while driving through phoenix with a friend. The exterior looked promising and we prepared ourselves for a treat. We were in for a a shock! We ordered the antipasto plate and while there were serious issues with it, it turned out to be the best thing we were served. I ordered the chicken rolatini (the special of the day) and it was just plain bad! The chicken was dry and under seasoned, the Rosemary potatoes were soggy  and the veggie medley  (squash, corn, green beans, etc.) was over cooked and the juices spilled over into the potatoes. It was one of the worst $17 meals that I have ever had! My friend ordered the veggie salad and it was one literal hot mess. Just horrible food! I see that others had the mini burgers and bowl of balls and found them to be tasty. I wish I had ordered those. As it is this is one place I would never revisit or recommend to a friend!",1,1,"The review is overwhelmingly negative, with the customer describing the food as 'horrible,' 'one of the worst meals' they've ever had, and explicitly stating they would never revisit or recommend the restaurant. While there is a minor mention of the antipasto being the 'best thing' served, it still had 'serious issues,' and the overall experience was dominated by strong negative language and disappointment.",True,True
"We decided to hit up the ""Wine Down Wednesday"" that was happenin' at Tastings courtesy of KYOT.  Here's what went wrong:

The event is from 6-8 so we arrived just a few minutes (3 maybe?) after 6 so we could get a spot just in case it was hoppin'.  We walked in and the hostess (she looks like she's possibly the manager or owner) asked if we were there for the event and then pointed us towards the back room where the event was being held.

We walked in and there were about 7 tables and there were people at them all already.  Talk about early bird gets the worm!  We had to wait for about 3-4 minutes for the waitress to finish with a table to find out if we could sit on the patio for the event.  She said yes and that she would be right out to help us.  In the meantime another woman and her friend also took up at a patio table nearby.

20 minutes later the hostess/owner/manager looking woman came out and asked if we had been helped yet.  We said no and she left only to return with a small happy hour flier menu which she just handed from a distance and didn't even come over to our table.  I know you're wondering why I would wait the 15 minutes, but I really wanted to see just how bad the service was going to be and frankly, I just wanted some good $2 wine.

It's been about 5 minutes and the same woman comes back with full, detailed menus and I asked if the happy hour flier was the deals for the event and she said yes and then asked if we were ready to order.  Um, you just gave us the menus 10 seconds ago...

By now I'm ready to just order and enjoy the meal deals from the event.  I look over the happy hour flier and I see some app deals.  They said there was a specialty appetizer menu.  Not so much, but whatever.  I can deal with that.  Then I see the drink section.  The claim for the event was $2 glasses of wine.  I was excited to try some nice new wines on the cheap, but again... not so much.  In reality it was $4 glasses of house wine which only consisted of three different wines that weren't really what I was looking for.  By now, the other women that were outside decided to leave having had enough of this shenanigans.  We decided (after 30 minutes since we arrived) to go next door to Sprouts, get some apps, and have our own ""Wine Down Wednesday"" at home.

I bet there are plenty of people that will have good experiences here and continue to visit happily, but this one experience has caused me to write them off for good (which I don't usually do after one instance).  I wish that I could actually review their wine and food, but the service was so poor and substandard that it's not worth giving them my money.  I understand if the food isn't good at a restaurant - some are just better or more talented than others.  However, any business can and should have good customer service.  I think this is where the cliched line of ""if I could give them less than 1 star I would"" comes in...

Oh yeah, and I slapped down a ""You've been Yelped"" card as I left.

Take that Tastings!!",1,1,"The review describes an extremely negative experience with poor service, misleading event details (e.g., $2 wine actually costing $4), and long wait times. The reviewer expresses anger and frustration, explicitly stating they would give less than 1 star if possible, and vows never to return, indicating extreme dissatisfaction.",True,True
"Total bait and switch sales department! Will tell you one price over the phone, then quote you another when you arrive! Happened to me personally 3 times. I bought from Scottsdale BMW. One quote, one price, done deal. Buyer beware...",1,1,"The review is extremely negative, focusing on deceptive 'bait and switch' practices that occurred multiple times, with strong warning language like 'Buyer beware.' The brief positive mention of another dealership serves only to highlight the negativity, indicating intense dissatisfaction.",True,True
"No offense to everyone who gave this place 5 stars, but the Tempe Cinema staff needs a swift kick in the ass. During school hours, this place is regularly crawling with hooligan truants. Maybe those who run this theatre want to ensure they will have a steady stream of staffing options from the dropouts who use it as a hideout. Losers.",1,1,"The review is extremely negative, using aggressive language and insults such as 'swift kick in the ass,' 'hooligan truants,' and 'losers.' It expresses anger and frustration with no positive aspects, indicating intense dissatisfaction.",True,True
Not worth the money. Food was average and the portion was small for the price I paid.,1,1,"The review is entirely negative, with no positive aspects. The customer explicitly states the experience was 'not worth the money,' criticizes the food as 'average' (implying mediocrity), and complains about small portions relative to price, indicating extreme dissatisfaction.",True,True
"Cold, under done chips. If a Mexican food restaurant can not get this staple right how can I expect them to get much more right.  I arrived for a party that my autocross group was having. Every table had chips and salsa on it. Sombreros were used as the server platters. Senor I don't think this even meets health code. 

Dinner was served Buffet Style, one of the dishes was called ""fandito."" I can't think of a less inspired dish. It was simple pasta with some Mexican flavors thrown it, a dish that your mother would make if she had leftovers from Mexican Italian nights. 

I like really like Mexican food, however I left this place hungry as I did not even want to try any of the dishes other than the salad.",1,1,"The review is overwhelmingly negative, with no positive aspects mentioned. The criticizes the food quality (cold, underdone chips; uninspired buffet dish like 'fandito'), presentation (using sombreros as platters, which raises health code concerns), and overall experience, stating they left hungry and avoided most dishes. The language is strong and angry, indicating extreme dissatisfaction.",True,True
"I can summarize this in one word.  YUCK!  We went for dinner/supper, which is part of the problem.  We ordered t-bone steak and chicken.  The salad bowl had a hole right through the plastic and the steak was way thin.  We ordered it medium and any steak that thin just ends up being cooked as ""well done"" anyway.  Everything comes with grease dripping hash browns whether you want them or not.  At least the staff was friendly enough and food (if you call it that) was served quickly.  My personal recommendation is that if you're not going to eat breakfast, go somewhere else.",1,1,"The review starts with 'YUCK!' and details multiple severe issues: a hole in the salad bowl plastic, thin and overcooked steak, unwanted greasy hash browns, and overall poor food quality. The positive mentions of friendly staff and quick service are minimal and do not offset the intense negative sentiment, which is reinforced by the strong recommendation to avoid the restaurant for dinner.",True,True
"Rental car review.

118 degrees.  Standing outside in the heat waiting for a bus.  10 minutes go by and I have seen 3 busses leave with out of service signs.  Another 10 minutes pass and no active duty busses.  Finally, a bus!  We have a packed bus and the driver is just standing outside.  5 minutes later he comes back on the bus and we drive 10 miles an hour the whole way to the terminal.

PHX...pay attention.  Business travelers do not appreciate being left in the heat for 20 minutes watching out of service busses pass by.",1,1,"The review describes an extremely negative experience with long wait times in extreme heat, multiple out-of-service buses, a delayed driver, and slow transportation, resulting in high frustration and anger. No positive aspects are mentioned, aligning with a 1-star rating for extremely negative sentiment.",True,True
"if you like terrible service and overpriced food you've come to the right place.  If I knew before I went in there I would be paying $16.00 for macaroni and cheese, and had the pleasure of waiting around for an hour to get it, while my glass remained empty, I would've stayed away (which is what you should do).  Food wasn't awful, although 2 members of the party did cut up their mouths eating the hard as a ""Rock"" bread on their sandwiches. The mac n' cheese was nothing special.  The service was beyond poor.  First and last time I will eat at Hard Rock Cafe.",1,1,"The review is extremely negative, citing terrible service, overpriced food, long wait times, and poor food quality that caused physical discomfort. The reviewer explicitly states it's their last visit, indicating strong dissatisfaction and anger, with no significant positive aspects to offset the criticism.",True,True
